scientific_name,µhab_surf,µhab_subsurf,µhab_soil
Polymyxa graminis,1,1,1
Pythium rostratifingens,1,1,1
Pythium monospermum,1,1,1
Spongospora sp. HH-2014,1,1,1
Spongospora subterranea f. sp. nasturtii,1,1,1
Hantzschia,1,0,0
Hantzschia amphioxys f. muelleri,1,0,0
Nitzschia,1,0,0
Nitzschia pusilla,1,0,0
Pseudo-nitzschia heimii,1,0,0
Bacillariophycidae,1,0,0
Luticola permuticopsis,1,0,0
Fistulifera,1,0,0
Mayamaea,1,0,0
Mayamaea sp. KAS1111,1,0,0
Jaagiella alpicola,1,0,0
Actinochloris sp. BCP-LG3VF20,1,0,0
Chlamydomonas,1,0,0
Chlamydomonas philotes,1,0,0
Chlamydomonas reinhardtii,1,0,0
Chlamydomonadaceae,1,0,0
Chlorococcum,1,0,0
Chlamydomonadales,1,0,0
Chlorophyceae,1,0,0
Bracteacoccus,1,0,0
Coelastrella saipanensis,1,0,0
Desmodesmus,1,0,0
Scenedesmaceae,1,0,0
Palmellopsis sp. BCP-EM1VF1,1,0,0
unclassified Spumella,1,0,0
Dinobryon,1,0,0
